data	spozywcze	chemia	wyjscia	prezenty	paliwo	alkohol	dom	kwiaty	apteka
2021-01-30	142,00	69,00							
2021-01-31	31,00								
2021-02-02	46,00								
2021-02-05	18,00								
2021-02-06			88,00	100,00					
2021-02-07			12,00						
2021-02-09	60,00								
2021-02-11	130,00								
2021-02-13	54,00								
2021-02-15	49,00	15,00							
2021-02-16	23,00								
2021-02-19				56,00	75,00				
2021-02-18	64,00					16,00			
2021-02-26			34,00						
2021-02-28					250,00				
2021-03-02	34,00								
2021-03-03			50,00						
2021-03-06	141,00	44,00				19,00	275,00	24,00	
2021-03-08			48,00						
2021-03-09	19,00	12,00							
2021-03-10	38,00						14,00		
2021-03-13	125,00								
2021-03-17	115,00								
2021-03-19	27,00								
2021-03-20	120,00								
2021-03-22	6,00								
2021-03-23	55,00								
2021-03-25	18,00						63,00		
2021-03-26	10,00								
2021-03-27	62,00	4,00							
2021-03-28			53,00						
2021-03-29	48,00					9,00			
2021-03-31	34,00								
2021-04-02	56,00	33,00							
2021-04-03					47,00				
2021-04-05					260,00				
2021-04-06						41,00	33,00		
2021-04-09	41,00								
2021-04-10	39,00								31
2021-04-11			37,00						
2021-04-14	60,00								
2021-04-16	29,00								
2021-04-17	214,00	53,00	19,00						
2021-04-19							48,00		
2021-04-23				129,00					
2021-04-24	86,00								
2021-04-25					208,00				
2021-04-26	37,00		17,00						
2021-04-27			17,00						
2021-05-04							92,00		
2021-05-05	46,00								
2021-05-06	23,00								
2021-05-10	95,00	38,00		115,00					
2021-05-12			50,00						
2021-05-14	124,00			50,00	233,00				
2021-05-18	18,00								
2021-05-19	68,00	29,00	57,00						
2021-05-24			18,00						
2021-05-25	52,00								
2021-05-27	61,00	46,00							
2021-05-29	20,00	5,00							
2021-06-01	9,00								
2021-06-06				65,00					
2021-06-08	127,00	10,00							
2021-06-09	57,00	17,00							
2021-06-10					50,00				
2021-06-11	26,00			30,00					
2021-06-13				300,00	300,00				
2021-06-14	20,00								
2021-06-15	50,00			100,00					
2021-06-16			140,00						
2021-06-23	43,00	36,00							
2021-06-25	128,00								
2021-06-28	21,00		13,00						
2021-06-29	29,00								
2021-06-30	11,00								
2021-07-01	61,00								
2021-07-02			55,00						
2021-07-06	55,00	24,00		61,00					
2021-07-10	49,00								
2021-07-11				100,00					
2021-07-12	7,00	64,00			106,00				
2021-07-13	2,00	16,00							
2021-07-15					25,00				
2021-07-24	86,00								
2021-07-28	34,00								
2021-07-29	87,00		33,00						
2021-07-31	148,00								
2021-07-03	75,00								
2021-07-04	14,00								